alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -17.000,     0.000,  -0.528762,   0.007428,   0.173621,   0.181050,   0.000000,  -0.000000,  -0.098176,   0.000000,  -0.000000,    7.0000,    0.0210
  -15.000,     0.000,  -0.658049,   0.016777,   0.112908,   0.129685,   0.000000,   0.000000,  -0.149382,  -0.000000,  -0.000000,    7.0000,    0.0183
  -13.000,     0.000,  -0.745065,   0.017906,   0.059578,   0.077484,   0.000000,   0.000000,  -0.190055,  -0.000000,   0.000000,    7.0000,    0.0164
  -11.000,     0.000,  -0.735872,   0.014281,   0.026291,   0.040573,   0.000000,   0.000000,  -0.192226,  -0.000000,  -0.000000,    7.0000,    0.0159
   -9.000,     0.000,  -0.553522,   0.008096,   0.017380,   0.025476,   0.000000,   0.000000,  -0.167681,   0.000000,  -0.000000,    7.0000,    0.0131
   -7.000,     0.000,  -0.374519,   0.003717,   0.013400,   0.017117,   0.000000,   0.000000,  -0.137642,   0.000000,  -0.000000,    7.0000,    0.0086
   -5.000,     0.000,  -0.191414,   0.000987,   0.010929,   0.011916,   0.000000,   0.000000,  -0.106614,   0.000000,  -0.000000,    7.0000,   -0.0064
   -3.000,     0.000,  -0.003241,   0.000001,   0.008700,   0.008701,   0.000000,   0.000000,  -0.076264,   0.000000,   0.000000,    7.0000,   -1.0694
   -1.000,     0.000,   0.188311,   0.000896,   0.007614,   0.008510,   0.000000,  -0.000000,  -0.045413,   0.000000,  -0.000000,    7.0000,    0.0531
    0.000,     0.000,   0.284785,   0.002092,   0.007621,   0.009713,   0.000000,   0.000000,  -0.029649,  -0.000000,  -0.000000,    7.0000,    0.0418
    1.000,     0.000,   0.381898,   0.003746,   0.007699,   0.011445,   0.000000,  -0.000000,  -0.013784,  -0.000000,  -0.000000,    7.0000,    0.0366
    2.000,     0.000,   0.478109,   0.005894,   0.007860,   0.013753,   0.000000,   0.000000,   0.002021,  -0.000000,  -0.000000,    7.0000,    0.0338
    3.000,     0.000,   0.573673,   0.008504,   0.008060,   0.016564,   0.000000,  -0.000000,   0.017848,  -0.000000,  -0.000000,    7.0000,    0.0319
    4.000,     0.000,   0.667546,   0.011532,   0.008381,   0.019914,   0.000000,  -0.000000,   0.033740,  -0.000000,  -0.000000,    7.0000,    0.0305
    5.000,     0.000,   0.756178,   0.014813,   0.009100,   0.023913,   0.000000,   0.000000,   0.049731,  -0.000000,  -0.000000,    7.0000,    0.0294
    6.000,     0.000,   0.836024,   0.018132,   0.010703,   0.028835,   0.000000,  -0.000000,   0.065558,  -0.000000,  -0.000000,    7.0000,    0.0285
    7.000,     0.000,   0.907652,   0.021396,   0.013029,   0.034425,   0.000000,  -0.000000,   0.081292,  -0.000000,  -0.000000,    7.0000,    0.0277
    8.000,     0.000,   0.982368,   0.025070,   0.014757,   0.039827,   0.000000,  -0.000000,   0.097254,  -0.000000,  -0.000000,    7.0000,    0.0270
    9.000,     0.000,   1.054228,   0.028888,   0.016329,   0.045216,   0.000000,   0.000000,   0.113396,  -0.000000,  -0.000000,    7.0000,    0.0263
   10.000,     0.000,   1.126053,   0.032959,   0.018285,   0.051244,   0.000000,   0.000000,   0.128798,  -0.000000,  -0.000000,    7.0000,    0.0258
   11.000,     0.000,   1.179947,   0.036231,   0.020937,   0.057168,   0.000000,  -0.000000,   0.144261,  -0.000000,  -0.000000,    7.0000,    0.0251
   12.000,     0.000,   1.222250,   0.038915,   0.024275,   0.063190,   0.000000,  -0.000000,   0.158719,  -0.000000,  -0.000000,    7.0000,    0.0245
   13.000,     0.000,   1.258212,   0.041271,   0.028717,   0.069988,   0.000000,  -0.000000,   0.171068,  -0.000000,  -0.000000,    7.0000,    0.0240
   14.000,     0.000,   1.289169,   0.043395,   0.034526,   0.077921,   0.000000,  -0.000000,   0.181202,  -0.000000,  -0.000000,    7.0000,    0.0236


